date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2025-08-30,74830,38949,31386,61673,77669,57975,78562,88769,78562,83442,4260,5710,5336,5918,9087,520,1010,5502,1046,957,534,403,832,27,39,4,31
2025-08-31,68239,18983,67237,31087,73261,70455,94092,30009,94092,67551,7167,2434,5316,5517,8228,2028,8308,423,2951,2226,843,745,942,66,54,81,95
2025-09-01,27335,97045,25178,16445,59419,68679,50325,85570,50325,56328,9936,7933,6301,151,4602,8594,4032,2107,3996,4524,846,167,326,29,5,99,2
2025-09-02,35079,61768,29962,33026,39696,16525,23691,42225,23691,99529,671,2459,302,6180,5063,4044,1414,2563,6215,4305,423,682,886,8,57,69,30
2025-09-03,72033,15521,73814,73281,13594,18199,67084,14551,67084,50308,3650,3680,155,6354,251,8088,1579,5449,761,1081,272,145,363,14,90,49,84
2025-09-04,70943,38492,20554,70069,1940,61888,91419,13930,91419,40883,4233,8852,5368,9800,5951,5303,7180,8045,5616,7468,913,668,770,37,45,1,40
2025-09-05,29878,50158,34445,81311,8775,62294,99938,91427,99938,99545,9397,2045,1447,3491,9312,3565,8895,7106,7698,1098,370,237,517,25,18,66,6
2025-09-06,89093,25280,53923,67762,39715,81684,83408,78403,83408,31911,1313,2005,7835,4796,4169,8567,1105,5080,8623,2255,473,753,153,9,64,31,67
2025-09-07,67137,77753,10954,86897,74456,12701,14448,6797,14448,74677,2700,6698,1083,346,8309,3358,1662,4519,9369,9488,55,957,432,36,68,57,40
2025-09-08,4493,66113,57584,90587,36917,29542,20268,75320,20268,30265,8326,6739,9383,8311,4763,7769,3868,3932,137,5071,814,134,74,32,24,12,52
2025-09-09,3460,34769,61343,84925,3559,12690,78281,94549,78281,89184,898,1053,3483,930,4263,1423,6482,6801,8368,7910,388,87,85,82,62,54,51
2025-09-10,29231,148,17333,81917,72154,10924,51440,30216,51440,44802,4318,6995,8617,6139,5034,4481,2682,1878,6262,8625,62,205,325,23,47,31,62
2025-09-11,30217,16202,7858,46709,58929,47096,47092,53732,47092,8468,812,3402,873,526,8460,8586,6036,7353,9301,4589,350,643,296,83,19,56,43
2025-09-12,58686,25026,26420,94274,19938,44338,89465,17028,89465,57303,4346,5321,50,4814,6943,8118,7522,8131,4984,9201,926,348,349,83,5,23,1
2025-09-13,2401,87189,35765,93276,95992,70874,29597,93375,29597,18765,8314,8485,5070,8002,8982,6450,2538,8604,9611,4829,257,334,253,28,93,80,24
2025-09-14,91807,49414,79092,72800,5927,28968,67553,59128,67553,66009,8888,6679,209,369,274,2620,974,2523,9633,8482,825,466,649,60,4,12,89
2025-09-15,95946,89884,97044,42891,170,80907,8686,90019,8686,35432,5860,288,7437,4495,5127,4301,6444,4358,3399,2500,224,616,465,82,33,22,26
2025-09-16,17705,13036,76900,78768,73396,16527,26221,86471,26221,63620,7391,8287,4952,3145,1770,7526,8472,3722,1192,925,479,389,851,12,29,11,33
2025-09-17,58005,6756,68134,97078,29542,36234,80889,67063,80889,95818,9744,4722,5167,4867,2580,3700,5451,4480,2108,4413,634,523,318,41,1,64,30
2025-09-18,44450,80569,92755,4311,59382,41688,10274,21670,10274,402,9009,2018,3546,8513,1771,965,6776,623,7173,9530,475,989,682,69,93,5,59
2025-09-19,29846,87243,71895,33123,37653,81077,50024,19199,50024,96983,8147,4478,5879,438,1742,866,1764,4119,1483,9557,528,353,362,13,56,22,45
2025-09-20,86590,16423,18362,33869,13728,36883,26173,9234,26173,41645,9114,768,6867,3742,1360,766,8274,1839,4492,9692,455,691,286,76,41,37,40
2025-09-21,75471,16413,78324,66488,87743,139,95115,1044,95115,54296,982,8516,1275,4194,6625,2574,5261,6228,6903,8630,697,783,794,93,74,87,88
2025-09-22,47461,29620,85899,15665,26430,2650,46909,20558,46909,4310,9753,4404,670,1801,2565,3034,889,9594,9843,8914,604,201,895,86,69,16,38
2025-09-23,36888,95243,34439,38882,53437,42149,76614,56658,76614,10335,8803,1873,1965,7168,4895,2216,9557,7631,2811,375,509,775,640,12,77,99,75
2025-09-24,77859,41120,98657,17732,55475,9588,76234,64516,76234,83266,9218,4048,506,9457,3509,1492,1834,4444,7671,5533,284,831,408,65,82,57,17
2025-09-25,63263,49075,94334,71143,37289,23531,99079,9780,99079,22285,9402,6194,2057,3975,7820,9749,2423,3409,9020,9063,424,875,42,58,68,97,7
2025-09-26,43223,6370,7755,39198,65462,42631,2891,49996,2891,74067,6277,1038,1364,3271,2987,3034,8336,8235,5526,8921,287,186,349,62,87,95,18
2025-09-27,92519,15736,30092,27079,93336,66831,48268,69292,48268,48471,7020,7912,4723,2659,9304,484,603,6991,515,8169,282,687,31,68,93,30,56
2025-09-28,37606,431,14719,82174,30950,51269,19416,26182,19416,75594,3591,3139,3351,3890,9934,5989,9429,6727,1803,7802,27,288,425,90,56,33,18
2025-09-29,40750,61108,69358,90154,1848,41575,52069,30677,52069,19052,5325,4890,644,8286,1767,2599,3392,331,6704,463,675,677,660,18,39,85,5
2025-09-30,81036,16126,38769,52002,75074,24263,73852,47100,73852,62038,9404,848,1340,2638,9487,8534,2807,4126,128,8262,35,512,987,72,70,60,23
2025-10-01,5683,38747,39877,22237,18199,52453,19239,18143,19239,81544,1501,7869,5195,6511,5556,322,9662,6206,5174,9285,480,907,816,8,56,80,54
2025-10-02,34147,51103,49544,86481,90811,51516,19617,4734,19617,92923,4987,9659,9876,6027,8790,8150,8709,6689,878,2994,967,679,796,72,26,44,42
2025-10-03,2109,75645,5394,1433,10667,10360,95881,96699,95881,32145,2639,7669,5881,3688,1813,3145,1455,7976,5206,9804,904,857,965,68,48,77,56
2025-10-04,40205,8072,44224,44370,9523,85775,52458,56810,52458,73704,2232,5414,7342,2266,3312,839,187,217,877,3745,817,665,154,5,4,68,63
2025-10-05,38445,27255,14580,81191,79686,86946,74048,13452,74048,88599,9486,6361,6087,6117,9765,4424,7068,829,3369,4580,993,271,906,69,25,16,14
2025-10-06,28021,56031,10444,20103,29504,10522,64248,68392,64248,31661,5508,3127,7257,1133,5001,5591,5433,1809,8292,548,626,40,985,10,46,91,25
2025-10-07,42525,6479,87963,56902,79953,16815,17284,91805,17284,91368,7412,1118,761,634,9389,7234,3928,3440,3945,6237,538,998,895,62,41,65,7
2025-10-08,16533,91202,7503,52128,42177,76632,98927,95417,98927,30224,2052,2647,2059,7265,7707,2361,3819,3063,2427,5052,6,820,579,14,64,62,83
2025-10-09,9565,14729,68722,61754,41093,33880,22844,39220,22844,22328,4631,1236,6574,622,6850,3557,740,6760,9439,9164,592,108,449,76,24,77,1
2025-10-10,1640,54778,58480,54921,50749,94670,56818,51058,56818,71888,8299,6500,7568,321,2625,5349,601,2158,8746,990,34,5,95,41,71,90,42
2025-10-11,943,43213,66146,15901,22906,4955,93893,32538,93893,85773,8964,803,4867,2405,9122,6281,8813,6672,8101,7293,803,301,325,84,9,69,79
2025-10-12,26352,46620,88046,6757,82102,55236,49407,14412,49407,59246,3781,2444,1432,7054,4205,3302,6273,7546,7162,9102,493,645,966,2,90,42,28
2025-10-13,56708,28309,14066,54388,2034,80922,829,76262,829,6839,6613,3765,1875,7381,2577,2808,3600,1919,4560,2403,39,767,147,25,42,72,87
2025-10-14,20424,73482,24515,12045,16763,18239,39990,54597,39990,33982,1293,5905,8675,4991,121,635,8362,8028,4947,1638,76,989,704,11,33,29,40
2025-10-15,99028,1836,31575,91437,65760,51585,54619,89077,54619,38568,7960,9707,9661,2913,2945,9487,5923,1193,7108,2473,555,370,125,73,13,42,70
2025-10-16,7662,5246,94556,19328,29612,19702,20015,23156,20015,63228,8283,6758,1002,9552,1506,599,8966,8546,3862,9918,491,631,369,10,83,34,27
2025-10-17,40279,60194,28902,58347,63050,405,49949,13887,49949,80102,6128,2104,6559,473,7300,5766,234,7330,4395,9781,723,595,735,44,83,48,63
2025-10-18,99279,87190,62556,83862,86645,59466,99525,74772,99525,11858,4802,5751,6376,268,427,9006,4206,5541,4791,8535,468,250,789,23,68,7,67
2025-10-19,12966,83647,24249,24402,90577,20176,71938,60207,71938,56028,6053,6618,4370,9212,850,3511,7941,1264,4826,8778,380,566,969,22,60,48,55
2025-10-20,32372,39001,85080,13074,39550,70090,41050,80771,41050,86195,1305,1952,9864,1984,7522,5300,6671,408,1568,7407,314,489,496,59,97,74,61
2025-10-21,7081,66797,13815,27581,249,6272,45716,96445,45716,42742,2280,1567,2908,2876,3679,541,1243,5257,5004,6838,391,303,160,28,81,70,38
2025-10-22,49274,40078,75515,4948,1151,13907,46897,62686,46897,10638,3300,7747,7758,8312,1365,4005,7901,1665,7845,9933,346,258,90,78,90,69,50
2025-10-23,80283,97483,56278,37452,69728,70488,371,39199,371,10602,7457,3964,2615,9592,7349,9686,2829,1879,9105,817,602,126,69,53,69,25,51
2025-10-24,1564,24940,32139,92425,26279,52772,66719,96166,66719,63106,8096,6984,5242,5787,9601,1816,2744,901,2044,7168,561,419,324,40,27,85,82
2025-10-25,77962,82883,36158,49284,19413,45519,51065,73373,51065,73333,7939,5592,3142,4474,8506,8522,7564,5894,2443,2176,493,852,317,87,65,52,99
2025-10-26,38410,50116,73120,60383,53954,68587,80920,59315,80920,88291,1849,3395,7827,8488,7306,1430,9251,8627,3099,9446,838,475,406,69,68,57,27
2025-10-27,2583,51627,60558,47672,2801,14597,21883,45523,21883,94346,4482,8411,9993,2471,5291,1628,8422,7668,166,6454,592,349,36,26,35,2,99
2025-10-28,62908,83168,55444,80601,52605,78612,73974,60673,73974,79933,667,6227,4323,9634,3969,4428,5803,3598,7625,3027,71,757,748,63,76,38,32
2025-10-29,70473,34309,58049,67024,93693,78612,94855,58964,94855,66156,8798,4905,1322,4565,2631,8363,6264,9813,7290,7837,227,94,356,35,79,97,30
2025-10-30,29788,14149,64601,53574,2137,99734,69400,46258,69400,25653,6793,442,857,1412,7756,5910,5572,750,2465,1030,550,419,117,76,92,49,24
2025-10-31,68301,14908,13579,78136,30699,33121,92574,90169,92574,19964,4779,2949,2184,7579,318,3542,9696,3746,2834,9216,241,277,775,14,80,87,13
2025-11-01,58792,69186,51304,43356,28584,39725,93626,28972,93626,51857,4174,9361,5961,5243,2312,4735,9171,6516,3053,1161,448,819,926,46,82,21,62
2025-11-02,36267,58758,87931,87313,53221,54786,52122,49916,52122,42184,3972,1521,3911,1549,8669,7169,9806,2575,8439,980,111,332,742,39,75,62,92
2025-11-03,47395,7247,34023,18153,35882,65866,48022,90244,48022,99227,370,2760,2834,9471,8949,5035,464,9264,7402,8918,562,663,330,90,53,88,61
2025-11-04,19686,33393,60326,89333,19942,33091,19620,97220,19620,92263,3112,6791,1086,6080,8615,4691,6766,8462,7939,6988,213,547,104,36,90,77,25
2025-11-05,40843,93151,89114,12180,91030,86254,67798,91783,67798,93522,7139,4195,5773,526,4623,9474,9578,5104,8114,4024,22,696,571,23,64,90,9
2025-11-06,2902,42067,80088,48835,33038,53076,3722,68888,3722,98585,3871,8299,8180,1308,9027,4142,3706,5449,9813,4206,399,413,853,45,19,89,1
2025-11-07,37814,92586,5735,61592,82624,20827,44509,32427,44509,95100,5469,7870,9836,2352,7673,7812,7841,5633,7657,2959,59,653,923,22,58,78,81
2025-11-08,37914,89787,80933,72741,20619,38976,79289,41735,79289,45191,3203,9156,8377,8030,1652,1748,2197,9638,7125,3362,983,132,186,89,20,59,54
2025-11-09,41879,25411,81936,90533,98871,72777,29402,30621,29402,9911,9597,7447,9892,6328,3186,4695,9088,5577,884,3169,131,718,588,62,83,90,70
2025-11-10,74592,10095,86405,73574,76035,59419,45545,30685,45545,81014,2371,8344,5811,2527,5445,6975,2640,9287,2688,3842,588,265,689,53,41,97,10
2025-11-11,77776,60572,41844,64011,80983,19492,76811,38302,76811,79047,1244,8208,2157,1601,2653,4125,7381,3463,61,9124,297,418,213,47,62,1,4
2025-11-12,62954,18157,21297,10164,24236,18775,4782,57174,4782,30205,8986,6593,4204,5010,760,5505,8370,4671,2188,3744,770,605,78,13,11,9,73
2025-11-13,34950,34109,73742,87446,77566,72768,2404,77089,2404,10966,2546,9017,203,2320,4316,966,7073,6683,7002,3977,917,794,988,55,77,72,90
2025-11-14,76520,74213,16394,74749,94457,23235,66085,66088,66085,32815,3448,3532,8803,4618,84,9663,4694,5298,5001,7692,699,847,960,61,87,48,95
2025-11-15,27079,91353,5930,6646,84484,85281,28117,47788,28117,75509,7699,835,4175,7378,4266,2498,9210,3795,8653,3860,184,940,675,60,95,65,43
2025-11-16,45721,66104,76879,69427,7206,37526,23644,98374,23644,53765,5666,2641,8612,283,404,1164,8073,1802,3013,1033,355,505,0,29,96,97,88
2025-11-17,78555,96424,74112,52336,92963,43336,50883,977,50883,4729,8436,9983,5334,3053,882,8179,4229,4400,1370,4064,826,667,251,30,83,75,87
2025-11-18,10753,31775,59852,24941,37478,41336,88084,35329,88084,93343,9226,8413,2312,8755,3987,7444,2072,9136,9637,3096,347,136,734,95,75,48,29
2025-11-19,65070,27583,14627,91590,73900,23094,14771,37587,14771,25738,1316,829,9171,3724,1103,2930,1141,9134,8160,9467,295,770,742,18,49,71,51
2025-11-20,46433,89650,21573,12383,2926,67478,72732,69126,72732,18119,7983,1901,9341,6705,3521,32,545,9949,1065,4450,46,737,274,59,7,93,31
2025-11-21,65343,77193,58225,50459,20838,90133,99093,93075,99093,22075,4404,8096,7372,2430,4232,1791,8020,1584,8083,5269,496,943,543,42,15,54,84
2025-11-22,26103,2129,70521,57197,12325,44749,51365,95814,51365,67158,1278,8948,6793,4053,7114,2524,6585,5970,7267,7054,697,395,635,81,14,78,40
2025-11-23,50004,40744,61418,86961,39038,68308,86903,19375,86903,97712,8292,8452,1279,2121,9015,5841,3327,6686,926,3646,59,323,89,79,63,24,99
2025-11-24,239,44260,40894,57092,63511,15731,23110,13928,23110,2664,8262,389,1953,4072,2033,6447,4377,9462,5889,3510,251,558,495,8,28,89,17
2025-11-25,7938,8129,18964,38334,98133,60608,54866,13097,54866,18417,1054,8724,4588,2196,9043,6883,3314,4841,416,6789,161,47,838,68,12,40,9
2025-11-26,69897,99665,29793,65356,81121,75989,9992,1181,9992,74694,1579,9991,168,4140,3582,2479,1026,9190,5676,9786,154,507,246,60,76,89,42
2025-11-27,44427,98824,44161,45542,90473,43894,93482,8287,93482,69042,3317,6158,5982,8843,2965,1697,1393,6732,2148,8028,560,390,957,16,52,74,35
2025-11-28,94834,13443,10498,96800,45709,24672,61451,60885,61451,67376,1194,7292,9861,2266,8666,3575,1273,7571,3593,2746,110,232,372,50,40,91,93
2025-11-29,66090,67058,81224,50614,69143,20624,92216,25380,92216,40003,2568,625,6280,5472,2507,931,2434,6990,4076,2030,938,218,112,38,8,46,88
2025-11-30,51488,19762,88642,91647,30795,83749,68070,50860,68070,72218,2454,8736,4638,8755,3106,8976,1605,8125,4451,2723,363,674,264,78,90,21,7
2025-12-01,13312,7492,30691,55715,77884,92135,46578,64572,46578,62729,6543,5764,9127,8464,4784,3263,491,3598,8529,6306,481,960,637,59,16,22,92
2025-12-02,90986,54175,69860,14772,66273,13571,43151,33509,43151,96687,5191,128,2414,9885,2970,751,9928,5044,5606,6032,611,124,619,61,83,39,81
2025-12-03,34038,68312,569,28566,4038,66560,35264,1018,35264,84532,8002,527,5347,216,752,9141,3429,4642,5364,9224,454,637,93,17,44,35,24
2025-12-04,11729,34336,36823,35651,4499,24585,39481,32192,39481,32965,3347,376,9205,5326,8234,2605,3541,7899,1765,1510,770,428,511,12,37,61,67
2025-12-05,4235,87225,31016,47625,43662,88626,56230,42098,56230,83713,7961,3769,80,3501,4664,5505,4710,1246,8246,7761,135,872,32,31,20,49,17
2025-12-06,54526,58804,71736,93839,24387,2396,21428,75892,21428,81473,1715,3121,995,3896,47,7223,7775,1049,5130,4078,311,191,630,3,82,12,14
2025-12-07,3626,22150,36905,57384,23871,48502,78146,38165,78146,21798,2676,2257,8665,9560,862,3248,6208,6316,5488,8331,377,95,490,59,71,31,48
2025-12-08,53192,88606,75701,91603,18578,92015,7235,54211,7235,38758,6663,2845,7986,4169,1416,965,3024,3303,4977,7819,447,34,136,19,59,1,57
2025-12-09,72908,81487,49415,49770,40950,62677,84708,78709,84708,20485,9306,5836,6014,370,4841,4019,7188,7213,4413,282,974,352,54,69,7,59,95
2025-12-10,51052,27999,83157,26124,95225,78632,70315,59675,70315,77901,9240,832,8067,8094,502,2316,6014,2078,7678,9725,264,231,162,18,96,61,33
2025-12-11,52668,63189,48437,50331,90032,97334,85232,51721,85232,18472,8314,1629,4095,7837,3047,9912,4318,9603,9072,5601,996,689,242,46,8,58,85
2025-12-12,97836,34933,10767,45403,77511,6614,75824,46853,75824,662,2000,1733,7056,3694,2960,5978,1310,8275,3400,3117,95,715,254,93,44,58,76
2025-12-13,30753,22200,82942,61722,91913,59268,71581,96909,71581,62130,1363,888,9161,6160,2996,5662,4724,6168,1159,6927,230,946,852,60,83,33,10
2025-12-14,56968,96640,63379,27081,40810,37171,46946,9683,46946,70212,600,4119,8910,2535,68,9228,4422,7697,6907,3148,962,614,898,66,58,31,76
2025-12-15,74093,96630,68615,86968,65344,91665,4614,95202,4614,37176,7494,7538,4817,3206,29,4516,9885,5189,1252,3664,597,253,521,40,30,96,8
2025-12-16,53792,87494,59610,6526,27782,67082,31000,66897,31000,14131,8878,82,5073,1134,4302,4101,9005,8276,5713,7158,509,291,871,27,57,50,58
2025-12-17,74484,55289,89467,60501,20748,11435,37692,74459,37692,10032,4215,9396,2353,828,726,2294,2114,289,6053,1358,5,86,859,92,46,56,22
2025-12-18,90138,6745,75289,78587,97949,86363,40141,86173,40141,95147,6386,3480,4261,5046,6998,9552,8665,4995,1538,6435,775,279,459,72,40,88,7
2025-12-19,90372,32172,86415,91659,31679,25205,10801,54997,10801,83180,8793,3075,1110,9483,7378,3636,9559,1899,9668,8546,21,276,825,28,27,54,56
2025-12-20,52816,76456,5474,57060,42067,4192,73,7873,73,84836,1868,9270,1994,2684,4294,422,2940,5783,9074,9805,133,543,763,90,11,95,61
2025-12-21,19036,39975,8585,16387,58365,20318,40444,28918,40444,43569,340,9883,11,3431,4645,1057,4391,9735,5383,3052,514,178,302,99,88,94,17
2025-12-22,64496,80595,7550,19880,99972,89794,13310,69213,13310,14254,2465,9988,3619,181,4374,983,151,7297,5053,7931,492,608,506,80,47,46,45
2025-12-23,41059,52748,17984,24712,46769,75861,49458,62267,49458,54705,6936,1538,1295,7678,5722,2348,9360,2337,6903,7113,724,117,34,98,36,83,81
2025-12-24,87629,82908,31196,72807,12577,61956,80974,98822,80974,50449,2267,1885,4151,8775,6121,3266,8497,987,5357,3257,752,692,446,99,95,78,80
2025-12-25,75199,30479,69837,38679,94607,7518,53043,50173,53043,12056,5898,1307,7161,9530,2970,3742,1419,7912,2616,6977,49,203,442,69,71,0,37
2025-12-26,58636,75294,24074,60697,82501,5422,17980,4000,17980,89811,6658,571,937,6729,9676,3588,7583,6524,3115,8814,798,369,784,45,90,17,28
2025-12-27,50982,717,59971,36798,33935,36138,63216,88940,63216,85612,4045,2882,9413,7228,9798,2740,7577,5123,7660,2823,720,603,850,70,27,43,21
2025-12-28,89905,15644,64010,86386,50552,61963,39831,86684,39831,6913,8437,5869,7917,2190,8162,2219,4264,227,6129,4385,151,288,121,93,73,71,65
2025-12-29,58437,44842,10561,49596,98098,91430,49450,5014,49450,45714,4097,8322,3632,3480,3156,1101,5348,7460,2865,8899,691,491,964,49,21,45,58
2025-12-30,78391,61941,39944,67109,40712,88052,3124,42686,3124,40792,3822,8406,8519,569,4054,1711,3927,8114,2809,3019,682,887,152,53,21,89,3
2025-12-31,64960,23258,73739,12759,58562,64368,35663,69336,35663,45128,8267,5449,922,6661,3958,5513,9025,6127,9229,6285,341,617,836,78,97,23,44
2026-01-01,57068,42408,8125,48752,87572,4842,46588,59776,46588,80235,1801,6138,3976,3634,7525,4363,7217,8796,5253,7828,731,617,253,91,25,69,67
2026-01-02,45748,11781,80531,23392,76928,84288,38636,47152,38636,66867,981,5060,292,2714,5289,9150,7983,5222,5023,9475,641,853,159,29,24,38,22
2026-01-03,949,15457,85851,82350,69570,81764,65786,46220,65786,60683,4812,4200,2174,3735,6454,1685,1007,6152,1401,3802,512,176,433,46,33,92,48
2026-01-04,72397,89278,16329,48048,97159,17185,89076,75782,89076,21201,1843,2975,4502,1658,8385,1584,4326,7132,5751,8036,239,577,634,68,34,77,25
2026-01-05,70505,5501,48493,16909,18738,29020,86274,90525,86274,31558,7048,4168,1108,5083,5260,2009,1307,7469,7284,2745,525,408,194,47,43,65,27
2026-01-06,78447,97482,34133,85357,43618,20625,56308,68669,56308,60368,1998,6601,4650,4973,1571,3798,3675,1466,2197,2606,354,932,356,50,10,65,12
2026-01-07,14389,6509,13267,17968,74323,8916,8345,44717,8345,32966,8786,8627,4145,5444,9205,9877,6869,9819,107,1776,65,764,88,39,64,24,57
2026-01-08,40162,3251,43668,39741,29338,34653,54266,18115,54266,89935,8827,4749,1127,4922,5415,3472,3302,2944,2365,2143,21,854,337,54,88,82,13
2026-01-09,39523,84612,62848,55433,59721,6536,62346,15182,62346,6441,7792,7911,5610,6426,3878,8812,4186,9423,4866,3766,417,102,243,47,87,52,46
2026-01-10,67793,86783,54358,84754,9108,63654,43443,17021,43443,4093,2131,472,7070,2787,3778,6260,7787,9014,8094,7516,762,712,486,70,45,14,13
2026-01-11,82438,32172,39869,21073,48067,7113,74630,5458,74630,608,1508,4847,5535,3417,1130,7400,4663,1636,7725,6936,768,195,519,70,95,10,43
2026-01-12,31894,58524,99688,98714,80158,2439,79195,56597,79195,45857,7282,1938,2863,1645,6652,1464,773,6100,6739,3640,301,697,335,31,34,20,42
2026-01-13,28027,19534,40983,83563,98542,55671,77880,26614,77880,10383,8135,5457,803,9273,7339,2012,6488,64,8499,1774,508,652,762,82,24,25,16
2026-01-14,2817,24517,74215,46621,79283,78432,76304,87446,76304,10084,5422,1753,9687,8395,2844,1358,6578,1837,3246,3689,945,187,978,15,99,52,55
2026-01-15,84522,41647,68429,43071,13656,17226,56960,32399,56960,87150,8476,1756,8256,3416,4039,7861,2800,8288,8644,4014,497,368,374,21,0,14,71
2026-01-16,90128,87289,80910,58166,3971,35172,81844,58854,81844,71849,969,6191,1726,7177,199,6087,5956,571,7403,7046,132,666,595,94,79,33,40
2026-01-17,9824,38842,57875,36581,49247,737,40091,36121,40091,11896,9500,2888,8937,6589,3615,3768,6201,787,8994,497,800,491,957,54,43,74,64
2026-01-18,17151,22960,73303,33180,54339,93758,78904,55993,78904,98721,2066,5089,1660,898,2713,5585,3229,7634,1785,1317,139,283,310,94,16,52,25
2026-01-19,88286,46486,28702,94053,49895,673,22045,65750,22045,4049,5519,2255,8111,1308,2390,9998,677,8380,5455,6840,674,109,851,23,29,24,53
2026-01-20,56878,98776,93745,32124,61464,76448,16058,70170,16058,30031,4592,5974,6752,5492,8780,6774,4549,6179,6789,427,916,392,879,12,9,28,56
2026-01-21,6186,11296,8294,23250,7979,91667,60639,34396,60639,13854,4956,5673,3257,8179,4698,4667,2958,6344,556,7221,480,226,435,60,26,32,49
2026-01-22,84063,18541,60215,67246,83347,49488,42251,16165,42251,4302,187,5560,282,5399,4696,4799,7270,1403,6263,5344,819,774,727,53,69,39,43
2026-01-23,57022,90013,31092,53604,39910,8849,56971,89267,56971,71629,2304,8015,8912,6173,2627,9514,2892,8344,9689,5560,484,417,202,77,19,86,10
2026-01-24,52062,57796,79745,30666,65247,95051,68829,9,68829,27583,4836,3722,1276,8236,5922,1188,449,4561,3565,4500,811,13,869,34,84,51,98
2026-01-25,8230,57060,26225,1219,9580,19519,96438,51944,96438,1630,3102,2391,4962,8535,5523,5519,6483,6771,7336,1652,489,940,371,33,97,86,63
